phase	start	end	role	anchors	next_action
1	00402510	004025a6	runtime and project bootstrap	CSystemManagerInit; GetProjectPath; SetCurrentPath; InitialiseConsoleVariables	Callable in Stage 2 with all nine direct calls proven; the 265-byte CSystemManagerInit constructor and 4,158-byte console-variable registrar relocation-match retail, with constructor branches and registrar singleton allocation/reuse behavior gated.
2	004025a6	00402668	basic-install and failure-policy bootstrap	CFileInstallerSingleton::Get; startup latch; SetEnableFailureHandling	Callable in Stage 3 with typed counted ownership; begin Phase 3 settings and persistence recovery.
3	00402668	0040284e	settings, persistence, and IME	FableGetDefaultLanguageName_00415530; PathExists; LoadFromFile; CPersistContext; LoadIMESettings	Callable in Stage 3 with all 34 direct calls proven; the exact signed-char persistence modes, full CIME settings loader, corrected CStringParser comment-list destructor, and existing string/profile/alignment ownership leaves are independently behavior-gated.
4	0040284e	004029dc	basic retail-bank alias map	CBasicRetailBankManager::SetNavigatorEnabled; CBasicRetailBankManager::AddBankAlias	Callable in Stage 3 with all 29 direct calls proven; five PC-to-generic aliases and the persisted navigator flag are behavior-gated.
5	004029dc	00402ce6	retail banks and INI files	OpenRetailBank; OpenIniFile; resource-directory factories	All 65 direct calls proven. Exact OpenRetailBank and OpenIniFile bodies now cover retail BIGB loading, development INI parsing, directory/header selection, bank-map population, and disk/retail/threaded ownership beneath every GFMain branch.
6	00402ce6	00403082	save paths, fonts, and display resources	LoadTable; MyDocuments_CheckWritePermissions; GetFontBankName; GFGetSystemManager	Callable in Stage 3 with all 61 direct calls proven. Complete Stage 3 and visual runtimes now execute the exact 8-byte definition-table pathname setter and exact 164-byte loader through pathname ownership, file open, 16 KiB input-stream construction, read, loaded/read-only flag publication, and balanced stream/file/string cleanup. They also execute the exact 372-byte My Documents write-permission coordinator through its successful create/open/delete route with no host filesystem effects. Runtime assertions prove both full in-memory routes; focused exact fixtures retain missing-path/read-only table variants plus redirected-folder and create/open/delete permission failures. Exact save-directory ownership, the game-text data-bank constructor and group-entry acquisition, and the physics-faces counted reset independently gate the remaining checkpoint/save/font/text/group/display chain.
7	00403082	0040329c	command line and window configuration	GetWindowTitle; CCharString assignments	Callable in Stage 3 with all 15 direct calls proven. Complete Stage 3 and visual runtimes execute the exact 274-byte GetWindowTitle coordinator through bank allocation/open, CRC lookup, fallback-title assignment, and bank teardown; runtime assertions prove the full live route and normally owned CWideString handoff. The focused exact fixture retains localized group acquisition, bank-handle assignment, counted group release, and fallback coverage. Recovered 0xC8 CSystemManagerInit offsets, alternate display defaults, region selection, cache/shader/window/font strings, and static-map Phase 8 bypass remain behavior-gated.
8	0040329c	004032d5	EULA and hardware configuration	DoEULAThings; GFConfigDetection; GFFreeConfigDetection	Callable in Stage 3 with all 5 direct calls proven. Complete Stage 3 and visual runtimes execute the exact 136-byte EULA coordinator, exact 875-byte hardware-detection coordinator, and exact 49-byte configuration-release coordinator through their normal-success route with runtime assertions from export acceptance through release. Focused fixtures retain load/export/video failures, both exit-on-failure branches, config skip, and Phase 7's static-map bypass; process exit remains injectable.
9	004032d5	00403389	engine primitive assembly	AddChildPrimitive; Initialise; CMainGameComponent::GenerateMetFilesFromLugFiles	Callable in Stage 3 with all 11 direct calls proven. One recovered 0xC8 CSystemManagerInit owner now spans Phase 1 construction, Phase 7 population, and Phase 9 consumption. Complete Stage 3 and visual runtimes execute the exact 998-byte CSystemManager coordinator through its recovered default-flags pre-initialization route, including process/scratch setup plus display, input, drive, text, mesh, and colour ownership across six allocations and the display/mesh component handoff; they also execute the exact 206-byte CIME body through a correctly sized 0x54 global owner and the exact 399-byte optional LUG-to-MET coordinator through its safe no-files route. Runtime assertions prove all three exact paths; focused fixtures retain system window/drive failures, the full eight-allocation route, IME failures, and one-file metadata generation/cleanup.
10	00403389	00403480	GFInitialise, launch, error handling, and cleanup	GFInitialise; CTBaseSingleton<CUserProfileManager>::Get; CUserProfileManager::SetProfileName; CGame::Play; GFUninitialise; GFHandleSystemInitError; CSystemRegistry	Callable in Stage 3 with all 21 direct calls proven; four scenarios gate GFInitialise success with and without startup text, GFInitialise failure, system-initialization error handling, launch cleanup, final profiles, registry persistence, and cross-phase string cleanup cardinality. The exact counted profile-manager pair, CGame ownership coordinator, GFUninitialise, full initialization-error dispatcher, wide comparison, and three-leaf registry closure are independently parity- and behavior-gated with memory-only registry imports.
