priority	name	kind	section	allocatorAddress	seedPackage	stage	evidence	nativeCluster	nativeOperationIr	requiredGates
0	GameflowAssistance	global	S_GFA	0x00CF0640	LUAGameflowAssistance	compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\GameflowAssistance.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\GameflowAssistance.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
0	QS_GuardianSisterInfo	quest	S_QSGSI	0x00E26780	GuardianSisterInfo	compare-runtime-trace	native-operation-ir	D:\Documents\FableTLC\refs\script_recovery\native_clusters\QS_GuardianSisterInfo.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\QS_GuardianSisterInfo.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
0	QS_GuardianSisterInfo2_SisterInBanditCamp	quest	S_QSGSI2	0x00E277E0	GuardianSisterInfo2	compare-runtime-trace	native-operation-ir	D:\Documents\FableTLC\refs\script_recovery\native_clusters\QS_GuardianSisterInfo2_SisterInBanditCamp.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\QS_GuardianSisterInfo2_SisterInBanditCamp.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
0	QS_GuardianTrophyDealerInfo	quest	S_QSGTDI	0x00E28CA0	GuardianTrophyDealerInfo	compare-runtime-trace	native-operation-ir	D:\Documents\FableTLC\refs\script_recovery\native_clusters\QS_GuardianTrophyDealerInfo.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\QS_GuardianTrophyDealerInfo.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
0	QS_MeetSister	quest	S_QSMS	0x00E29990	MeetSister	compare-runtime-trace	native-operation-ir	D:\Documents\FableTLC\refs\script_recovery\native_clusters\QS_MeetSister.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\QS_MeetSister.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
0	Q_DragonBossFight	quest	S_QDBF	0x00D27240	DragonBossFight	compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_DragonBossFight.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_DragonBossFight.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
0	Q_HerosOldHouse	quest	S_QHOH	0x00D8D5A0	HerosOldHouse	compare-runtime-trace	native-operation-ir	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HerosOldHouse.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HerosOldHouse.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
0	V_GuildMaster	village	S_VGM	0x00E92900	GuildMaster	compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\V_GuildMaster.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\V_GuildMaster.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
0	V_MazeResearch	village	S_VMR	0x00EA8690	MazeResearch	compare-runtime-trace	native-operation-ir	D:\Documents\FableTLC\refs\script_recovery\native_clusters\V_MazeResearch.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\V_MazeResearch.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
0	V_StatueMaster	village	S_VSM	0x00ED4A40	StatueMaster	compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\V_StatueMaster.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\V_StatueMaster.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	QS_ScytheInfo	quest	S_QSSI	0x00E2AB00		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\QS_ScytheInfo.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\QS_ScytheInfo.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_AmbushTraders	quest	S_QAT	0x00CFA2F0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_AmbushTraders.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_AmbushTraders.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_Arena	quest	S_QA	0x00CFABF0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_Arena.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_Arena.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_ArenaHoldingScript	quest	S_AHS	0x00CF8860		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_ArenaHoldingScript.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_ArenaHoldingScript.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_AwakeningTheOracle	quest	S_QATO	0x00D00590		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_AwakeningTheOracle.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_AwakeningTheOracle.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_BanditCamp	quest	S_QBC	0x00D03580		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_BanditCamp.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_BanditCamp.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_BanditCampBossBattle	quest	S_QBCBB	0x00D12920		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_BanditCampBossBattle.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_BanditCampBossBattle.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_BanditCampHoldingScript	quest	S_QBCHS	0x00D12C50		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_BanditCampHoldingScript.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_BanditCampHoldingScript.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_BountyHunt	quest	S_QBH	0x00D1CBA0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_BountyHunt.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_BountyHunt.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
