address	previous_identity	corrected_identity	retail_evidence	status
00415530	NTCScriptedControl::CActionDoCreatureAction::GetActionName	FableGetDefaultLanguageName_00415530	"TLC receives the hidden CCharString result in ECX and returns with ret; the donor virtual loads its hidden result from [esp+8] and returns with ret 4. GFMain uses TLC 0x00415530 between the \lang_settings.txt path setup and narrow-to-wide conversion, and the leaf constructs literal English."	CONFIRMED
0099e480	GetDefaultVal<CAnimationSet>	CCharString::ToWideString	"TLC receives CCharString this in ECX and a hidden CWideString result on the stack, constructs a temporary through confirmed factory 0x0099B6A0, copy-constructs the result through confirmed copy constructor 0x0099B720, destroys the temporary, and returns with ret 4. The donor PDB confirms CCharString::ToWideString; all three readable sources are relocation-normalized retail matches with focused behavior gates."	CONFIRMED
0099b440	CWideString	CWideString::CWideString(CCharString const &)	"Confirmed factory 0x0099B6A0 forwards its CCharString source to this private conversion constructor; donor PDB ??0CWideString@@IAE@ABVCCharString@@@Z has the same role and ABI."	CONFIRMED
0099b4d0	CCharString::UnassignString	CWideString::UnassignString	"Confirmed CWideString copy constructor 0x0099B720 calls this helper for existing destination storage; retail owner access is CWideStringData +0x0c and donor PDB confirms ?UnassignString@CWideString@@IAEXXZ."	CONFIRMED
0099b510	CCharString::~CCharString	CWideString::~CWideString	"Retail releases CWideStringData owners at +0x0c and decrements wide-string global 0x013BCA20; the existing typed 68-byte source relocation-matches and donor PDB confirms ??1CWideString@@QAE@XZ."	CONFIRMED
0099b6b0	CCharString::AssignFromWide	CWideString::CWideString(wchar_t const *)	"Retail initializes storage and the CWideString instance counter 0x013BCA20, checks UTF-16 code units, and calls the adjacent wide allocation helper. Donor PDB ??0CWideString@@QAE@PB_W@Z confirms the public constructor."	CONFIRMED_IDENTITY
0099b8d0	CCharString::operator+=	CWideString::operator+=(CWideString const &)	"Retail accesses UTF-16 storage and CWideStringData owners at +0x0c. Donor PDB ??YCWideString@@QAEABV0@ABV0@@Z confirms the member overload."	CONFIRMED_IDENTITY
0099b940	CCharString::SetFromUnicodeString	CWideString::operator+=(wchar_t const *)	"Retail scans and appends a two-byte UTF-16 range. Donor PDB ??YCWideString@@QAEABV0@PB_W@Z confirms the member overload."	CONFIRMED_IDENTITY
0099bf30	CCharString::AssignFromValue	operator+(CWideString const &,wchar_t const *)	"TLC receives the hidden CWideString result in ECX and the left operand in EDX, copy-constructs a temporary, appends the explicit UTF-16 stack argument, then copies and destroys the temporary. GFMain supplies the lang_settings.txt suffix; donor PDB ??H@YI?AVCWideString@@ABV0@PB_W@Z confirms the free fastcall overload."	CONFIRMED_IDENTITY_EXACT_PARITY
0099bff0	CCharString::SetFromEnum	operator+(wchar_t const *,CWideString const &)	"TLC receives the hidden CWideString result in ECX and the UTF-16 left operand in EDX, constructs a temporary, appends the explicit CWideString stack argument, then copies and destroys the temporary. GFMain supplies Data\\lang\\ as the prefix; donor PDB ??H@YI?AVCWideString@@PB_WABV0@@Z confirms the free fastcall overload."	CONFIRMED_IDENTITY_EXACT_PARITY
