# forge-autoname: evidence-based names for FUN_* (name->check workflow wf_698bd133-f69, 2026-07-21)
# addr	name	plate_comment  (high+medium confidence, checker-confirmed)
0099be70	CCharString::AssignFromData	[forge-autoname conf=high <- wf] Evidence matches: thiscall on CCharString, refcount management (puVar1[3]), calls operator+=, UnassignString, manages temporary data pointer correctly
00410de0	std::bitset::test	[forge-autoname conf=high <- wf] Evidence matches: checks bit at index param_2, validates bounds with abort() call and bitset error string, standard bitset::test pattern
0099b6b0	CCharString::AssignFromWide	[forge-autoname conf=high <- wf] Evidence matches: thiscall on CCharString, takes short* (wide string), calls AllocStringData, classic wide-to-char conversion
0099f570	CCharString::AppendData	[forge-autoname conf=high <- wf] Evidence matches: fastcall, manages refcount at offset 0xd, calls operator+=, UnassignString, appends data pattern
0099f600	CCharString::AppendCString	[forge-autoname conf=high <- wf] Evidence matches: fastcall, takes char* param instead of CCharString, same refcount/operator+=/UnassignString pattern
00c0ba40	CCharStringData::Release	[forge-autoname conf=high <- wf] Evidence matches: fastcall on int* (string data), calls InterlockedDecrement on refcount at offset -0xc, frees memory when refcount < 1
0042d5b1	CPersistTraits::Transfer	[forge-autoname conf=medium <- wf] Function calls TransferIn but name claim 'CStringParser::Parse' overstates certainty. Evidence shows persistence data transfer, not string parsing
00c0ffe0	EventQueue_ProcessWithTimeout	[forge-autoname conf=medium <- wf] Evidence matches: fastcall on uint*, calls GetTickCount, checks timeout against DAT_0139c904, constructs predicates for event validation
00693ef0	CPhysicsMeshInfo::~CPhysicsMeshInfo	[forge-autoname conf=high <- wf] Evidence matches: fastcall destructor, sets vtable pointer, cleans up tree/arrays/bindings with proper cleanup sequence
004e40c3	std::vector::push_back	[forge-autoname conf=high <- wf] Evidence matches: thiscall vector insert, checks if element==end, calls reallocation function FUN_004e3526 if full
0042b646	CUIState::operator=	[forge-autoname conf=high <- wf] Evidence shows simple delegation to FUN_0042aadc with assignment semantics on CUIState, but name claim lacks clarity on class membership
0099bf30	CCharString::AssignFromValue	[forge-autoname conf=high <- wf] Evidence matches: fastcall, refcount pattern identical to AssignFromData, calls FUN_0099b940 (conversion func), then UnassignString
0053fde0	std::list::push_back	[forge-autoname conf=high <- wf] Evidence matches: thiscall, malloc(0xc) for list node, proper linking into list structure
0099e960	CCharString::NotEqual	[forge-autoname conf=high <- wf] Evidence matches: thiscall on undefined4* and char*, calls operator==, returns negated result for inequality
00669d30	CCRC::CalcAndLookup	[forge-autoname conf=high <- wf] Evidence matches: thiscall uint, calls CCRC::Calc then FUN_006699c0 (lookup), returns result or masked value
009f1760	CMemoryBuffer::Copy	[forge-autoname conf=medium <- wf] Evidence shows byte-level copy with bitfield handling and buffer position increment, but 'memcpy' is misleading; should be more generic copy
0042971d	CMemoryAllocatorVariableSize::BalanceTree	[forge-autoname conf=medium <- wf] Evidence matches: complex tree balancing with RotateLeft calls and node color/balance logic; red-black tree rebalancing pattern
0099b2c0	CWideString::ConvertToCharString	[forge-autoname conf=high <- wf] Evidence matches: thiscall on int* and CCharString, malloc temp buffer, loops converting wide to char via index arithmetic, calls CCharString constructor
0044bff0	std::vector::push_back	[forge-autoname conf=high <- wf] Evidence matches: thiscall vector insert, checks capacity at param_1+8, calls FUN_00433530 (reallocator) if needed
0042a34e	CMemoryAllocatorVariableSize::Erase	[forge-autoname conf=medium <- wf] Evidence matches: thiscall tree-based allocator, complex node removal with RotateLeft, manages allocated/deallocated areas
00454886	CActiveFile::operator=	[forge-autoname conf=high <- wf] Evidence matches: thiscall assignment, calls memmove on buffers, OnReadFinished on resize; file buffer copy assignment
004294e2	RBTree::GetMaxNode	[forge-autoname conf=medium <- wf] Evidence shows red-black tree traversal following right pointers to find rightmost node, but name 'FindMaxNode' is acceptable
00c4d740	CAudioContext::GetProcAddress	[forge-autoname conf=medium <- wf] Evidence matches: thiscall, calls GetProcAddress for 'alGetProcAddress', caches result at param_1+0xe8
00433530	std::vector::Reallocate	[forge-autoname conf=medium <- wf] Function signature suggests insert operation, but actual evidence shows malloc-based reallocation with copy loop; more generic name warranted
0045ef2d	CActiveFile::operator=	[forge-autoname conf=high <- wf] Evidence matches: identical to 00454886, thiscall file assignment, calls OnReadFinished, memmove; file buffer copy assignment
0066bd00	CSoundInfo::PlaySound	[forge-autoname conf=medium <- wf] Evidence matches: thiscall with 6 params, calls GetMeshBank, ResetRings, multiple internal sound functions
00440990	std::vector::InsertMultipleAndGrow	[forge-autoname conf=medium <- wf] Evidence matches: thiscall vector insert with memmove, malloc growth, handles multiple insertions with loop
004c9840	CBaseObject::OnPropertyChanged	[forge-autoname conf=medium <- wf] Evidence matches: thiscall CBaseObject, finds property in VectorMap, calls virtual methods; property change notification
008b0b10	std::vector::push_back	[forge-autoname conf=high <- wf] Evidence matches: thiscall vector insert at param_1+0x14, increments count, calls FUN_008b3350 (reallocator) if needed
00c915a0	CBitstream::ReadBits	[forge-autoname conf=high <- wf] Evidence matches: fastcall int*, extracts bits from bytes with complex shifts, advances stream position and bit offset
0099b800	CCharString::AssignFromWide	[forge-autoname conf=high <- wf] Evidence matches: thiscall CCharString, takes short* wide param, calls AllocStringData; wide string assignment variant
00833a10	CThingAnimatable::SetSuspendAnimation	[forge-autoname conf=medium <- wf] Evidence matches: thiscall sets flags at offset 0x1c8, calls FUN_00835960 or FUN_00835560 based on param_2; animation suspension control
0099b150	CWideString::NotEqual	[forge-autoname conf=high <- wf] Evidence matches: thiscall int* and wchar_t*, compares wide strings via wcscmp or memcmp, returns negated bool
00c90fc0	CBitstream::WriteBits	[forge-autoname conf=high <- wf] Evidence matches: fastcall int*, shifts bits into bytes, reallocates if needed, advances stream position
00c7b8f0	CBitfield::RightShift	[forge-autoname conf=medium <- wf] Evidence shows right-shift of 4 uint values in bitfield, but name 'operator>>=' suggests operator overload which is not evident
00431143	CPersistContext::TransferString	[forge-autoname conf=high <- wf] Evidence matches: thiscall CPersistContext, CheckCRC(), branches on mode (2=read 3=write), calls WriteNullTerminatedString
004310a7	CPersistContext::TransferWideString	[forge-autoname conf=high <- wf] Evidence matches: thiscall CPersistContext, CheckCRC(), branches on mode, calls WriteNullTerminatedWString
00743270	std::vector::InsertMultipleAndGrow	[forge-autoname conf=medium <- wf] Evidence matches: thiscall vector 8-byte element insert, malloc growth, handles single/multiple inserts
00c7b8b0	CBitfield::RightShiftCopy	[forge-autoname conf=medium <- wf] Evidence shows right-shift of 4-int bitfield from source to destination, but operator>>= notation is misleading
009a08b0	CCharString::FormatDouble	[forge-autoname conf=high <- wf] Evidence matches: fastcall CCharString*, double param, calls FUN_0099f1f0 (formatting), Truncate to remove trailing zeros, MakeOwnCopyOfData
00c19250	Map_CheckEmpty	[forge-autoname conf=medium <- wf] Checks container emptiness but 'RedblackTree' not evident in the code logic - generic container pattern only
00a14040	Math_CartesianToSpherical	[forge-autoname conf=high <- wf] fpatan, sqrt, sin/cos with angle calculations and normalization matches spherical conversion exactly
0053fdb0	List_PushBack	[forge-autoname conf=medium <- wf] Allocates 12-byte node, links via offset +4/+8 doubly-linked list pattern confirmed
0066e370	Vector_InsertRange	[forge-autoname conf=medium <- wf] Allocates buffer, copies range, inserts N copies, frees old - vector reallocation pattern confirmed
00436ac0	Vector_InsertN	[forge-autoname conf=medium <- wf] Reallocates, copies prefix, inserts N copies of element, copies suffix via memmove confirmed
00c194f0	RedblackTree_NodeCtor	[forge-autoname conf=medium <- wf] Initializes tree node fields, not insertion; constructs node with vptr and error handling
006f0810	Vector_CopyFrom	[forge-autoname conf=medium <- wf] Allocates from source size, copies all 12-byte elements, returns vector object - copy constructor pattern
004128a0	Vector_PushBack	[forge-autoname conf=medium <- wf] Checks capacity at +4/+8 offsets, calls reallocation on full - standard vector push confirmed
006a80a0	Bitset_Test	[forge-autoname conf=high <- wf] Tests bit at index with 0x111 bound check, bitwise logic with shift, aborts on invalid confirmed
006f5400	RedblackTree_Insert	[forge-autoname conf=medium <- wf] Binary search tree traversal via offset comparisons, calls rotation function - tree insertion confirmed
0099b940	CCharString::SetFromUnicodeString	[forge-autoname conf=high <- wf] thiscall, converts wide string via AllocStringData and MakeOwnCopyOfData confirmed
006f0250	RedblackTree_FindLE	[forge-autoname conf=medium <- wf] Binary search with uint64 key comparison at offsets 0x10/0x14, returns node or root confirmed
0099ba70	CCharString::SetFromFormatV	[forge-autoname conf=high <- wf] thiscall, wide string formatting via _vsnwprintf, AllocStringData, security cookie pattern confirmed
00432ee9	CCombatWheel::operator=	[forge-autoname conf=high <- wf] Copy assignment with capacity checks, range copying, destructor calls on old elements confirmed
009f18f0	CircularBuffer_Read	[forge-autoname conf=medium <- wf] Reads N bytes from buffer at offset 9, wraps at 0x20 boundary, updates position confirmed
00486024	Vector_PushBack	[forge-autoname conf=medium <- wf] Checks capacity at +4/+8, writes value or calls reallocation - standard vector push confirmed
00c5ffb0	CTCHeroStats::AddEventData	[forge-autoname conf=high <- wf] thiscall CTCHeroStats, calls InformOfEvent(0x98), massive switch writing to event queue at 0x3c4 confirmed
0066e630	Vector_PushBack_C3DVector	[forge-autoname conf=medium <- wf] Pushes 12-byte struct, calls reallocation for 3D vector elements confirmed
00404280	WideString_EqualsLen	[forge-autoname conf=medium <- wf] Counts null-terminated wide string length, checks equality via compare function confirmed
00485ff3	Vector_PushBack	[forge-autoname conf=medium <- wf] Pushes 4-byte element, checks capacity at +4/+8, increments or reallocates confirmed
00cd344a	StdMap_DestroyNode	[forge-autoname conf=medium <- wf] Recursive tree destruction with 3-level nesting, frees nodes, calls ~CPair destructor confirmed
004c1060	CTCGraphicAppearance::GetHelperPointOr	[forge-autoname conf=medium <- wf] Tries two helper point names via GetHelperPoint, falls back to FUN_004bbf00 confirmed
005135d0	Vector_InsertN_uint16	[forge-autoname conf=medium <- wf] Vector reallocate/insert for uint16 elements with shift >>1 for element count confirmed
004ad520	Vector_PushBack_IntelligentPointer	[forge-autoname conf=medium <- wf] Pushes 8-byte intelligent pointer with copy constructor and reallocation confirmed
009cc410	CVectorMap::LookupValue	[forge-autoname conf=high <- wf] thiscall CVectorMap, calls LowerBound, checks bounds, returns value at +1 offset confirmed
00b2ac80	Vector_PushBack	[forge-autoname conf=medium <- wf] Pushes int to vector, checks capacity at +0x14/+0x18, calls reallocation confirmed
005947b6	Vector_PushBack_Pair	[forge-autoname conf=medium <- wf] Pushes 8-byte pair element, checks capacity or calls reallocation confirmed
005693b0	Vector_Insert	[forge-autoname conf=medium <- wf] Inserts range at position via copies and memmove, fills gap, shifts remainder confirmed
005b3100	StdMap_LowerBound	[forge-autoname conf=medium <- wf] Binary search via LowerBound with pair construction; name claims FindInsertPos but evidence shows lower_bound pattern
005dc340	Animation_FindNthValid	[forge-autoname conf=medium <- wf] Iterates array with 0x14 stride, counts valid entries via function pointer call confirmed
008adf90	Vector_PushBack_ScriptThing	[forge-autoname conf=medium <- wf] Pushes 12-byte script object with vptr and parameter values confirmed
0099bdb0	CCharString::SetSubstring	[forge-autoname conf=high <- wf] thiscall, extracts substring from range [param_3,param_4), calls AllocStringData and UnassignString confirmed
0099bff0	CCharString::SetFromEnum	[forge-autoname conf=medium <- wf] fastcall, calls helper function then operator+=, converts enum/value to string confirmed
00440d70	Vector_EraseRange	[forge-autoname conf=medium <- wf] Moves elements via _Move, destroys vptrs via destructor on each element confirmed
00464ace	Vector_InsertN_uint32	[forge-autoname conf=medium <- wf] Vector reallocate/insert for 4-byte elements with shift >>2 for element count confirmed
