rank	priority	address	length	name	lane	attempt	snapshot	next_action
1	P3	0089b3f0	96	CGameScriptInterface::SetHeroAsWearing	fse1	bounded	no	Previously behavior-complete at DIFFER(94v96); documented unsaved-EDI/saved-ESI register-allocation family residue
2	P3	00899000	95	CGameScriptInterface::GiveHeroExperience	fse1	bounded	yes	Behavior PASS at DIFFER(93v95); two-hop hero resolve, 0x100 gate, key 0x68 sentinel lookup and amount forward validated
3	P3	0088ead0	95	CGameScriptInterface::EntitySetAsDamageable	fse1	bounded	yes	Behavior PASS at DIFFER(97v95); +0x12c predicate, resolve, +0x6c gate, +0xbc bit replacement and +0x838/+0x83c notifications validated
4	P3	008a16b0	94	CGameScriptInterface::GetBestScoreCoinGolfOakVale	fse1	bounded	yes	Exact-length DIFFER(94v94) behavior PASS; hero-stats +0x184 float score and integer conversion validated
5	P3	008a1710	94	CGameScriptInterface::GetBestScoreCoinGolfSnowSpire	fse1	bounded	yes	Exact-length DIFFER(94v94) behavior PASS; hero-stats +0x188 float score and integer conversion validated
6	P3	008a1770	94	CGameScriptInterface::GetBestScoreShoveHaPenny	fse1	bounded	yes	Exact-length DIFFER(94v94) behavior PASS; hero-stats +0x18c float score and integer conversion validated
7	P3	008a1650	94	CGameScriptInterface::GetBestScoreBlackjack	fse1	bounded	yes	Exact-length DIFFER(94v94) behavior PASS; hero-stats key-4 lookup, +0x180 float load and VC7.1 integer conversion validated
8	P3	008984e0	91	CGameScriptInterface::SetWeaponOutCrimeEnabled	fse1	bounded	yes	Previously behavior-complete at exact-length DIFFER(91v91); documented EDI/ESI register-allocation residue
9	P3	00898540	91	CGameScriptInterface::SetGuardsIgnoreCrimes	fse1	bounded	yes	Exact-length DIFFER(91v91) behavior PASS; two-hop resolve, 0x20000 gate, key 0x51 sentinel lookup and +0x2d bool store validated
10	P3	0088e2a0	94	CGameScriptInterface::IsLevelLoaded	fse1	bounded	yes	Previously behavior-complete at DIFFER(87v94); documented argument-versus-receiver evaluation-order residue
11	P3	00897090	91	CGameScriptInterface::SetWhetherToFailQuestOnDeath	fse1	bounded	yes	Exact-length DIFFER(91v91) behavior PASS; hero-stats key-4 lookup and +0x174 bool store validated
12	P3	00897cf0	91	CGameScriptInterface::SetNumberOfTimesHeroHasHadSex	fse1	bounded	no	Exact-length DIFFER(91v91) behavior PASS; hero-stats key-4 lookup and +0x154 count store validated
13	P3	00897d50	91	CGameScriptInterface::SetHeroAsHavingHadSex	fse1	bounded	yes	Exact-length DIFFER(91v91) behavior PASS; hero-stats key-4 lookup and +0x158 bool store validated
14	P3	00897db0	91	CGameScriptInterface::SetHeroAsHavingHadGaySex	fse1	bounded	yes	Exact-length DIFFER(91v91) behavior PASS; hero-stats key-4 lookup and +0x159 bool store validated
15	P3	008962d0	90	CGameScriptInterface::EnableVillagerDefTypes	fse1	bounded	no	Behavior PASS at DIFFER(88v90); village key-0x22 sentinel lookup and bool/name forward validated, remaining call scheduling
16	P3	00897c90	89	CGameScriptInterface::GetNumberOfTimesHeroHasHadSex	fse1	bounded	yes	Exact-length DIFFER(89v89) behavior PASS; hero-stats key-4 lookup and +0x154 count read validated
17	P3	008a0f70	88	CGameScriptInterface::SetReadableObjectText	fse1	bounded	no	Exact-length DIFFER(88v88) behavior PASS; supplied-thing resolve, 0x2000 gate, key 0x0d sentinel lookup and WideString assignment at +0x18 validated
18	P3	0089ef30	88	CGameScriptInterface::SetMoralityChangingAsEnabled	fse1	bounded	yes	Exact-length DIFFER(88v88) behavior PASS; hero resolve, key-4 sentinel lookup and component +0x2c bool store validated
19	P3	00897880	88	CGameScriptInterface::GetHeroTitle	fse1	bounded	yes	Exact-length DIFFER(88v88) behavior PASS; two-hop hero resolve, 0x200 gate, key 0x29 sentinel lookup and +0x10 title read validated
20	P3	00895130	88	CGameScriptInterface::SetTrapAsActive	fse1	bounded	no	Exact-length DIFFER(88v88) behavior PASS; corrected supplied-thing resolver, capability 0x20000000, key 0x7d and active/inactive dispatch
21	P3	00898fa0	86	CGameScriptInterface::GetHeroGold	fse1	bounded	yes	Exact-length DIFFER(86v86) behavior PASS; two-hop hero resolution, key-4 sentinel lookup and component +0x3c read validated
22	P3	008978e0	86	CGameScriptInterface::EntitySetAsAbleToRegionFollowWhenMarried	fse1	bounded	yes	Exact-length DIFFER(86v86) behavior PASS; entity gates, interface 0xd7 sentinel lookup and component +0x1c bool store validated
23	P3	00896270	85	CGameScriptInterface::EnableGuards	fse1	bounded	no	Behavior PASS at DIFFER(83v85); resolve/flag gates, key-0x22 sentinel lookup and bool forward validated, remaining call schedule
24	P3	00896060	85	CGameScriptInterface::SetVillageLimbo	fse1	bounded	no	Behavior PASS at DIFFER(83v85); resolve/flag gates, key-0x22 sentinel lookup and bool forward validated, remaining call schedule
